date_time;location_description;latitude;longitude;count;device_id;point
2021-02-27T05:00:55+00:00;Llanberris Athletics Reserve;-37.568927;143.866722;2011;lst25275720;-37.568927, 143.866722
2021-02-27T16:00:54+00:00;Llanberris Athletics Reserve;-37.568927;143.866722;2011;lst25275720;-37.568927, 143.866722
2021-02-27T20:38:19+00:00;Llanberris Athletics Reserve;-37.568927;143.866722;0;cob-ped001;-37.568927, 143.866722
2021-03-03T04:00:46+00:00;Llanberris Athletics Reserve;-37.568927;143.866722;0;lst25275720;-37.568927, 143.866722
2021-03-03T11:00:46+00:00;Robert Clark Conservatory;-37.5467229;143.8212977;0;lst25275720;-37.5467229, 143.8212977
2021-03-03T19:00:10+00:00;Robert Clark Conservatory;-37.5467229;143.8212977;0;cob-ped001;-37.5467229, 143.8212977
2021-03-04T05:56:16+00:00;Robert Clark Conservatory;-37.5467229;143.8212977;17;cob-ped001;-37.5467229, 143.8212977
2021-03-04T15:00:43+00:00;Robert Clark Conservatory;-37.5467229;143.8212977;0;lst25275720;-37.5467229, 143.8212977
2021-03-04T18:00:43+00:00;Robert Clark Conservatory;-37.5467229;143.8212977;0;lst25275720;-37.5467229, 143.8212977
2021-03-05T01:00:42+00:00;Robert Clark Conservatory;-37.5467229;143.8212977;0;lst25275720;-37.5467229, 143.8212977
2021-03-05T11:00:41+00:00;Robert Clark Conservatory;-37.5467229;143.8212977;0;lst25275720;-37.5467229, 143.8212977
2021-03-05T12:00:42+00:00;Robert Clark Conservatory;-37.5467229;143.8212977;0;lst25275720;-37.5467229, 143.8212977
2021-03-05T14:00:41+00:00;Robert Clark Conservatory;-37.5467229;143.8212977;1;lst25275720;-37.5467229, 143.8212977
2021-02-09T23:33:50+00:00;Llanberris Athletics Reserve;-37.568927;143.866722;2;cob-ped001;-37.568927, 143.866722
2021-02-11T22:01:26+00:00;Llanberris Athletics Reserve;-37.568927;143.866722;1888;lst25275720;-37.568927, 143.866722
2021-03-06T07:00:40+00:00;Robert Clark Conservatory;-37.5467229;143.8212977;0;lst25275720;-37.5467229, 143.8212977
2021-03-06T21:00:38+00:00;Robert Clark Conservatory;-37.5467229;143.8212977;0;lst25275720;-37.5467229, 143.8212977
2021-02-13T00:01:24+00:00;Llanberris Athletics Reserve;-37.568927;143.866722;1892;lst25275720;-37.568927, 143.866722
2021-02-13T00:04:08+00:00;Llanberris Athletics Reserve;-37.568927;143.866722;0;cob-ped001;-37.568927, 143.866722
2021-03-07T10:00:38+00:00;Robert Clark Conservatory;-37.5467229;143.8212977;0;lst25275720;-37.5467229, 143.8212977
2021-03-08T08:00:36+00:00;Robert Clark Conservatory;-37.5467229;143.8212977;0;lst25275720;-37.5467229, 143.8212977
2021-03-08T22:00:34+00:00;Robert Clark Conservatory;-37.5467229;143.8212977;1;lst25275720;-37.5467229, 143.8212977
2021-03-09T01:00:34+00:00;Robert Clark Conservatory;-37.5467229;143.8212977;41;lst25275720;-37.5467229, 143.8212977
2021-03-09T12:00:33+00:00;Robert Clark Conservatory;-37.5467229;143.8212977;0;lst25275720;-37.5467229, 143.8212977
2021-03-09T19:00:32+00:00;Robert Clark Conservatory;-37.5467229;143.8212977;0;lst25275720;-37.5467229, 143.8212977
2021-03-10T05:00:31+00:00;Robert Clark Conservatory;-37.5467229;143.8212977;98;lst25275720;-37.5467229, 143.8212977
2021-03-10T08:00:31+00:00;Robert Clark Conservatory;-37.5467229;143.8212977;0;lst25275720;-37.5467229, 143.8212977
2021-03-10T19:00:30+00:00;Robert Clark Conservatory;-37.5467229;143.8212977;0;lst25275720;-37.5467229, 143.8212977
2021-03-10T23:00:30+00:00;Robert Clark Conservatory;-37.5467229;143.8212977;11;lst25275720;-37.5467229, 143.8212977
2021-03-01T02:00:51+00:00;Llanberris Athletics Reserve;-37.568927;143.866722;16;lst25275720;-37.568927, 143.866722
2021-03-01T02:26:35+00:00;Llanberris Athletics Reserve;-37.568927;143.866722;51;cob-ped001;-37.568927, 143.866722
2021-03-01T08:00:50+00:00;Llanberris Athletics Reserve;-37.568927;143.866722;0;lst25275720;-37.568927, 143.866722
2021-03-01T14:00:50+00:00;Llanberris Athletics Reserve;-37.568927;143.866722;0;lst25275720;-37.568927, 143.866722
2021-03-01T15:00:50+00:00;Llanberris Athletics Reserve;-37.568927;143.866722;0;lst25275720;-37.568927, 143.866722
2021-03-01T22:00:49+00:00;Llanberris Athletics Reserve;-37.568927;143.866722;28;lst25275720;-37.568927, 143.866722
2021-03-02T00:00:49+00:00;Llanberris Athletics Reserve;-37.568927;143.866722;0;lst25275720;-37.568927, 143.866722
2021-03-02T03:00:49+00:00;Llanberris Athletics Reserve;-37.568927;143.866722;39;lst25275720;-37.568927, 143.866722
2021-03-02T03:16:44+00:00;Llanberris Athletics Reserve;-37.568927;143.866722;92;cob-ped001;-37.568927, 143.866722
2021-03-02T04:00:48+00:00;Llanberris Athletics Reserve;-37.568927;143.866722;0;lst25275720;-37.568927, 143.866722
2021-03-02T06:00:48+00:00;Llanberris Athletics Reserve;-37.568927;143.866722;0;lst25275720;-37.568927, 143.866722
2021-03-02T07:15:01+00:00;Llanberris Athletics Reserve;-37.568927;143.866722;0;cob-ped001;-37.568927, 143.866722
2021-03-02T09:00:48+00:00;Llanberris Athletics Reserve;-37.568927;143.866722;0;lst25275720;-37.568927, 143.866722
2021-03-02T10:00:48+00:00;Llanberris Athletics Reserve;-37.568927;143.866722;0;lst25275720;-37.568927, 143.866722
2021-03-02T12:00:48+00:00;Llanberris Athletics Reserve;-37.568927;143.866722;0;lst25275720;-37.568927, 143.866722
2021-03-02T16:00:48+00:00;Llanberris Athletics Reserve;-37.568927;143.866722;0;lst25275720;-37.568927, 143.866722
2021-03-02T17:00:48+00:00;Llanberris Athletics Reserve;-37.568927;143.866722;0;lst25275720;-37.568927, 143.866722
2021-03-02T18:00:47+00:00;Llanberris Athletics Reserve;-37.568927;143.866722;0;lst25275720;-37.568927, 143.866722
2021-03-03T10:03:58+00:00;Robert Clark Conservatory;-37.5467229;143.8212977;0;cob-ped001;-37.5467229, 143.8212977
2021-03-03T21:00:45+00:00;Robert Clark Conservatory;-37.5467229;143.8212977;0;lst25275720;-37.5467229, 143.8212977
2021-03-04T09:54:19+00:00;Robert Clark Conservatory;-37.5467229;143.8212977;0;cob-ped001;-37.5467229, 143.8212977
2021-03-04T12:52:47+00:00;Robert Clark Conservatory;-37.5467229;143.8212977;0;cob-ped001;-37.5467229, 143.8212977
2021-03-04T15:51:26+00:00;Robert Clark Conservatory;-37.5467229;143.8212977;0;cob-ped001;-37.5467229, 143.8212977
2021-03-04T17:00:43+00:00;Robert Clark Conservatory;-37.5467229;143.8212977;0;lst25275720;-37.5467229, 143.8212977
2021-03-05T09:00:42+00:00;Robert Clark Conservatory;-37.5467229;143.8212977;0;lst25275720;-37.5467229, 143.8212977
2021-03-05T10:00:42+00:00;Robert Clark Conservatory;-37.5467229;143.8212977;0;lst25275720;-37.5467229, 143.8212977
2021-03-05T15:00:41+00:00;Robert Clark Conservatory;-37.5467229;143.8212977;0;lst25275720;-37.5467229, 143.8212977
2021-03-06T08:00:40+00:00;Robert Clark Conservatory;-37.5467229;143.8212977;0;lst25275720;-37.5467229, 143.8212977
2021-03-06T12:00:39+00:00;Robert Clark Conservatory;-37.5467229;143.8212977;0;lst25275720;-37.5467229, 143.8212977
2021-03-06T17:00:39+00:00;Robert Clark Conservatory;-37.5467229;143.8212977;0;lst25275720;-37.5467229, 143.8212977
2021-03-06T23:00:38+00:00;Robert Clark Conservatory;-37.5467229;143.8212977;30;lst25275720;-37.5467229, 143.8212977
2021-03-08T02:00:36+00:00;Robert Clark Conservatory;-37.5467229;143.8212977;178;lst25275720;-37.5467229, 143.8212977
2021-03-08T04:00:36+00:00;Robert Clark Conservatory;-37.5467229;143.8212977;150;lst25275720;-37.5467229, 143.8212977
2021-03-08T11:00:35+00:00;Robert Clark Conservatory;-37.5467229;143.8212977;0;lst25275720;-37.5467229, 143.8212977
2021-03-08T19:00:35+00:00;Robert Clark Conservatory;-37.5467229;143.8212977;0;lst25275720;-37.5467229, 143.8212977
2021-03-09T08:00:33+00:00;Robert Clark Conservatory;-37.5467229;143.8212977;0;lst25275720;-37.5467229, 143.8212977
2021-03-09T16:00:33+00:00;Robert Clark Conservatory;-37.5467229;143.8212977;1;lst25275720;-37.5467229, 143.8212977
2021-03-09T20:00:32+00:00;Robert Clark Conservatory;-37.5467229;143.8212977;1;lst25275720;-37.5467229, 143.8212977
2021-03-09T22:00:32+00:00;Robert Clark Conservatory;-37.5467229;143.8212977;3;lst25275720;-37.5467229, 143.8212977
2021-03-09T23:00:32+00:00;Robert Clark Conservatory;-37.5467229;143.8212977;5;lst25275720;-37.5467229, 143.8212977
2021-01-22T05:03:49+00:00;Llanberris Athletics Reserve;-37.568927;143.866722;386;cob-ped001;-37.568927, 143.866722
2021-03-11T16:00:29+00:00;Robert Clark Conservatory;-37.5467229;143.8212977;0;lst25275720;-37.5467229, 143.8212977
2021-01-22T17:02:06+00:00;Llanberris Athletics Reserve;-37.568927;143.866722;979;lst25275720;-37.568927, 143.866722
2021-01-22T16:57:29+00:00;Llanberris Athletics Reserve;-37.568927;143.866722;1;cob-ped001;-37.568927, 143.866722
2021-03-11T18:41:50+00:00;Robert Clark Conservatory;-37.5467229;143.8212977;0;cob-ped001;-37.5467229, 143.8212977
2021-03-11T19:00:28+00:00;Robert Clark Conservatory;-37.5467229;143.8212977;0;lst25275720;-37.5467229, 143.8212977
2021-03-11T23:00:28+00:00;Robert Clark Conservatory;-37.5467229;143.8212977;3;lst25275720;-37.5467229, 143.8212977
2021-03-11T06:00:30+00:00;Robert Clark Conservatory;-37.5467229;143.8212977;3;lst25275720;-37.5467229, 143.8212977
2021-01-23T16:02:05+00:00;Llanberris Athletics Reserve;-37.568927;143.866722;1536;lst25275720;-37.568927, 143.866722
2021-03-11T11:00:29+00:00;Robert Clark Conservatory;-37.5467229;143.8212977;0;lst25275720;-37.5467229, 143.8212977
2021-03-11T12:00:29+00:00;Robert Clark Conservatory;-37.5467229;143.8212977;0;lst25275720;-37.5467229, 143.8212977
2021-01-24T00:02:04+00:00;Llanberris Athletics Reserve;-37.568927;143.866722;1555;lst25275720;-37.568927, 143.866722
2021-03-12T00:00:28+00:00;Robert Clark Conservatory;-37.5467229;143.8212977;57;lst25275720;-37.5467229, 143.8212977
2021-01-24T20:40:12+00:00;Llanberris Athletics Reserve;-37.568927;143.866722;0;cob-ped001;-37.568927, 143.866722
2021-01-25T05:02:04+00:00;Llanberris Athletics Reserve;-37.568927;143.866722;1844;lst25275720;-37.568927, 143.866722
2021-02-26T16:00:56+00:00;Llanberris Athletics Reserve;-37.568927;143.866722;2010;lst25275720;-37.568927, 143.866722
2021-02-27T02:00:55+00:00;Llanberris Athletics Reserve;-37.568927;143.866722;2011;lst25275720;-37.568927, 143.866722
2021-01-25T15:31:20+00:00;Llanberris Athletics Reserve;-37.568927;143.866722;0;cob-ped001;-37.568927, 143.866722
2021-02-27T12:00:54+00:00;Llanberris Athletics Reserve;-37.568927;143.866722;2011;lst25275720;-37.568927, 143.866722
2021-01-26T08:02:01+00:00;Llanberris Athletics Reserve;-37.568927;143.866722;1857;lst25275720;-37.568927, 143.866722
2021-01-26T12:02:01+00:00;Llanberris Athletics Reserve;-37.568927;143.866722;1857;lst25275720;-37.568927, 143.866722
2021-01-26T15:02:01+00:00;Llanberris Athletics Reserve;-37.568927;143.866722;1857;lst25275720;-37.568927, 143.866722
2021-02-28T06:00:53+00:00;Llanberris Athletics Reserve;-37.568927;143.866722;2011;lst25275720;-37.568927, 143.866722
2021-01-26T21:02:00+00:00;Llanberris Athletics Reserve;-37.568927;143.866722;1857;lst25275720;-37.568927, 143.866722
2021-02-28T08:00:53+00:00;Llanberris Athletics Reserve;-37.568927;143.866722;2011;lst25275720;-37.568927, 143.866722
2021-01-27T08:15:17+00:00;Llanberris Athletics Reserve;-37.568927;143.866722;86;cob-ped001;-37.568927, 143.866722
2021-01-27T23:09:21+00:00;Llanberris Athletics Reserve;-37.568927;143.866722;1;cob-ped001;-37.568927, 143.866722
2021-02-28T21:00:51+00:00;Llanberris Athletics Reserve;-37.568927;143.866722;2063;lst25275720;-37.568927, 143.866722
2021-01-28T02:01:58+00:00;Llanberris Athletics Reserve;-37.568927;143.866722;1861;lst25275720;-37.568927, 143.866722
2021-03-03T14:00:46+00:00;Robert Clark Conservatory;-37.5467229;143.8212977;0;lst25275720;-37.5467229, 143.8212977
2021-03-03T20:00:45+00:00;Robert Clark Conservatory;-37.5467229;143.8212977;0;lst25275720;-37.5467229, 143.8212977
2021-01-28T05:07:25+00:00;Llanberris Athletics Reserve;-37.568927;143.866722;41;cob-ped001;-37.568927, 143.866722
2021-03-04T02:00:44+00:00;Robert Clark Conservatory;-37.5467229;143.8212977;4;lst25275720;-37.5467229, 143.8212977
2021-01-28T07:01:57+00:00;Llanberris Athletics Reserve;-37.568927;143.866722;1862;lst25275720;-37.568927, 143.866722
2021-03-04T01:57:54+00:00;Robert Clark Conservatory;-37.5467229;143.8212977;28;cob-ped001;-37.5467229, 143.8212977
2021-01-28T07:06:18+00:00;Llanberris Athletics Reserve;-37.568927;143.866722;274;cob-ped001;-37.568927, 143.866722
2021-03-04T05:00:44+00:00;Robert Clark Conservatory;-37.5467229;143.8212977;2;lst25275720;-37.5467229, 143.8212977
2021-01-28T11:01:57+00:00;Llanberris Athletics Reserve;-37.568927;143.866722;1862;lst25275720;-37.568927, 143.866722
2021-01-28T17:01:44+00:00;Llanberris Athletics Reserve;-37.568927;143.866722;0;cob-ped001;-37.568927, 143.866722
2021-03-04T22:48:46+00:00;Robert Clark Conservatory;-37.5467229;143.8212977;53;cob-ped001;-37.5467229, 143.8212977
2021-03-05T07:00:42+00:00;Robert Clark Conservatory;-37.5467229;143.8212977;2;lst25275720;-37.5467229, 143.8212977
2021-03-06T06:00:40+00:00;Robert Clark Conservatory;-37.5467229;143.8212977;50;lst25275720;-37.5467229, 143.8212977
2021-01-31T21:01:50+00:00;Llanberris Athletics Reserve;-37.568927;143.866722;1870;lst25275720;-37.568927, 143.866722
2021-03-06T10:34:21+00:00;Robert Clark Conservatory;-37.5467229;143.8212977;0;cob-ped001;-37.5467229, 143.8212977
2021-03-06T14:32:31+00:00;Robert Clark Conservatory;-37.5467229;143.8212977;0;cob-ped001;-37.5467229, 143.8212977
2021-03-06T20:00:39+00:00;Robert Clark Conservatory;-37.5467229;143.8212977;0;lst25275720;-37.5467229, 143.8212977
2021-03-07T01:00:38+00:00;Robert Clark Conservatory;-37.5467229;143.8212977;195;lst25275720;-37.5467229, 143.8212977
2021-03-07T19:20:48+00:00;Robert Clark Conservatory;-37.5467229;143.8212977;0;cob-ped001;-37.5467229, 143.8212977
2021-03-07T20:00:37+00:00;Robert Clark Conservatory;-37.5467229;143.8212977;0;lst25275720;-37.5467229, 143.8212977
2021-03-08T02:17:54+00:00;Robert Clark Conservatory;-37.5467229;143.8212977;535;cob-ped001;-37.5467229, 143.8212977
2021-03-08T23:00:34+00:00;Robert Clark Conservatory;-37.5467229;143.8212977;10;lst25275720;-37.5467229, 143.8212977
2021-03-09T03:00:34+00:00;Robert Clark Conservatory;-37.5467229;143.8212977;59;lst25275720;-37.5467229, 143.8212977
2021-03-09T06:00:33+00:00;Robert Clark Conservatory;-37.5467229;143.8212977;6;lst25275720;-37.5467229, 143.8212977
2021-03-10T06:00:32+00:00;Robert Clark Conservatory;-37.5467229;143.8212977;26;lst25275720;-37.5467229, 143.8212977
2021-03-10T09:00:31+00:00;Robert Clark Conservatory;-37.5467229;143.8212977;0;lst25275720;-37.5467229, 143.8212977
2021-03-10T16:00:31+00:00;Robert Clark Conservatory;-37.5467229;143.8212977;0;lst25275720;-37.5467229, 143.8212977
2021-02-07T22:01:34+00:00;Llanberris Athletics Reserve;-37.568927;143.866722;1884;lst25275720;-37.568927, 143.866722
2021-02-07T22:53:34+00:00;Llanberris Athletics Reserve;-37.568927;143.866722;0;cob-ped001;-37.568927, 143.866722
2021-01-22T04:36:04+00:00;Llanberris Athletics Reserve;-37.568927;143.866722;274;cob-ped001;-37.568927, 143.866722
2021-01-22T10:00:55+00:00;Llanberris Athletics Reserve;-37.568927;143.866722;279;cob-ped001;-37.568927, 143.866722
2021-01-22T12:02:06+00:00;Llanberris Athletics Reserve;-37.568927;143.866722;979;lst25275720;-37.568927, 143.866722
